,ticker,date,replies_count,retweets_count,likes_count,positive_sentiment,negative_sentiment,daily_tweet_count,avg_sentiment,positive_count,neutral_count,negative_count,positive_percentage,neutral_percentage,negative_percentage,adj_close
0,AAPL,2022-06-02,1975,3117,21340,696,937,3142,-0.07670273711012095,696.0,1509.0,937.0,22.151495862507957,48.02673456397199,29.82176957352005,151.2100067138672
1,AAPL,2022-06-03,2143,6491,34798,827,833,3008,-0.0019946808510638296,827.0,1348.0,833.0,27.493351063829785,44.81382978723404,27.69281914893617,145.3800048828125
2,AAPL,2022-06-04,1743,2195,22894,668,937,3016,-0.08919098143236075,668.0,1411.0,937.0,22.148541114058357,46.783819628647215,31.067639257294427,148.0300048828125
3,AAPL,2022-06-05,1824,3992,32478,688,871,2860,-0.06398601398601399,688.0,1301.0,871.0,24.055944055944057,45.48951048951049,30.454545454545457,147.8800048828125
4,AAPL,2022-06-06,2973,34470,288005,888,842,3090,0.01488673139158576,888.0,1360.0,842.0,28.7378640776699,44.01294498381877,27.249190938511326,146.13999938964844
5,AAPL,2022-06-07,1805,13201,70246,837,857,3095,-0.006462035541195477,837.0,1401.0,857.0,27.04361873990307,45.266558966074314,27.689822294022616,148.7100067138672
6,AAPL,2022-06-08,1494,2174,14559,715,880,2943,-0.05606523955147808,715.0,1348.0,880.0,24.294937138973836,45.803601766904514,29.901461094121647,147.9600067138672
7,AAPL,2022-06-09,1763,4971,21313,647,969,3035,-0.10609555189456343,647.0,1419.0,969.0,21.317957166392095,46.754530477759474,31.927512355848435,142.63999938964844
8,AAPL,2022-06-10,79,129,1003,39,73,206,-0.1650485436893204,39.0,94.0,73.0,18.932038834951456,45.63106796116505,35.43689320388349,137.1300048828125
9,AAPL,2022-06-11,2375,4722,23412,722,911,2932,-0.06446111869031378,722.0,1299.0,911.0,24.624829467939975,44.30422919508868,31.07094133697135,138.4740020751953
10,AAPL,2022-06-12,2126,2903,19599,650,854,2785,-0.0732495511669659,650.0,1281.0,854.0,23.339317773788153,45.996409335727115,30.66427289048474,135.96799926757814
11,AAPL,2022-06-13,1830,4525,25021,725,856,3089,-0.04240854645516348,725.0,1508.0,856.0,23.470378763353835,48.81838782777598,27.711233408870186,131.8800048828125
12,AAPL,2022-06-14,2933,14321,206274,680,898,3015,-0.07230514096185738,680.0,1437.0,898.0,22.553897180762853,47.66169154228856,29.784411276948592,132.75999450683594
13,AAPL,2022-06-15,2228,3927,23024,679,902,2968,-0.07513477088948788,679.0,1387.0,902.0,22.87735849056604,46.73180592991914,30.390835579514825,135.42999267578122
14,AAPL,2022-06-16,2071,2706,15240,729,923,2957,-0.06560703415623943,729.0,1305.0,923.0,24.65336489685492,44.13256679066622,31.214068312478865,130.05999755859378
15,AAPL,2022-06-17,3778,6009,29819,760,971,3177,-0.06641485678312874,760.0,1446.0,971.0,23.921938936103242,45.51463644948065,30.563424614416117,131.55999755859378
16,AAPL,2022-06-18,1965,4951,24035,715,990,2994,-0.09185036740146961,715.0,1289.0,990.0,23.881095524382097,43.05277221108884,33.06613226452906,133.13599548339843
17,AAPL,2022-06-19,2045,3990,29337,789,865,3004,-0.02529960053262317,789.0,1350.0,865.0,26.264980026631157,44.940079893475364,28.79494007989348,134.22200012207028
18,AAPL,2022-06-20,9352,11718,39390,687,811,2816,-0.04403409090909091,687.0,1318.0,811.0,24.396306818181817,46.80397727272727,28.79971590909091,134.22200012207028
19,AAPL,2022-06-21,1849,5166,36378,742,954,3145,-0.06740858505564389,742.0,1449.0,954.0,23.593004769475357,46.0731319554849,30.333863275039747,135.8699951171875
20,AAPL,2022-06-22,1777,3976,26117,664,860,2996,-0.06542056074766354,664.0,1472.0,860.0,22.162883845126835,49.13217623497997,28.704939919893192,135.35000610351562
21,AAPL,2022-06-23,3262,2656,16391,683,945,3017,-0.08684123301292675,683.0,1389.0,945.0,22.63838249917136,46.0391117003646,31.322505800464036,138.27000427246094
22,AAPL,2022-06-24,2993,7203,38131,607,1015,3042,-0.1341222879684418,607.0,1420.0,1015.0,19.953977646285338,46.67981591058514,33.36620644312952,141.66000366210938
23,AAPL,2022-06-25,1911,6915,29939,629,951,2956,-0.10893098782138025,629.0,1376.0,951.0,21.2787550744249,46.54939106901218,32.17185385656292,138.87600402832032
24,AAPL,2022-06-26,1998,5612,24281,655,942,2954,-0.0971563981042654,655.0,1357.0,942.0,22.173324306025727,45.93771157752201,31.888964116452268,139.652001953125
25,AAPL,2022-06-27,2827,13006,68475,662,871,3024,-0.06911375661375661,662.0,1491.0,871.0,21.891534391534393,49.30555555555556,28.802910052910054,141.66000366210938
26,AAPL,2022-06-28,3339,27289,73172,713,929,3019,-0.07154686982444518,713.0,1377.0,929.0,23.61709175223584,45.6111295130838,30.771778734680353,137.44000244140622
27,AAPL,2022-06-29,1596,2779,16583,682,927,2976,-0.0823252688172043,682.0,1367.0,927.0,22.916666666666664,45.93413978494624,31.149193548387093,139.22999572753906
28,AAPL,2022-06-30,2078,31713,250190,626,991,3039,-0.12010529779532741,626.0,1422.0,991.0,20.598881210924645,46.79170779861796,32.60941099045739,136.72000122070312
29,AMZN,2022-06-02,1805,2592,7134,556,556,3007,0.0,556.0,1895.0,556.0,18.490189557698702,63.01962088460259,18.490189557698702,125.51100158691406
30,AMZN,2022-06-03,1069,2198,10797,564,531,2998,0.011007338225483656,564.0,1903.0,531.0,18.812541694462976,63.47565043362241,17.71180787191461,122.3499984741211
31,AMZN,2022-06-04,1055,2487,10553,532,455,2986,0.02578700602813128,532.0,1999.0,455.0,17.81647689216343,66.94574681848627,15.237776289350302,123.46699981689451
32,AMZN,2022-06-05,1219,2116,13195,531,471,3001,0.019993335554815063,531.0,1999.0,471.0,17.69410196601133,66.61112962345884,15.694768410529825,123.36620025634764
33,AMZN,2022-06-06,1476,2581,9094,520,447,2981,0.024488426702448843,520.0,2014.0,447.0,17.44381080174438,67.56122106675613,14.994968131499498,124.79000091552734
34,AMZN,2022-06-07,1686,4184,19863,594,481,2994,0.03774215096860387,594.0,1919.0,481.0,19.839679358717436,64.09485637942551,16.06546426185705,123.0
35,AMZN,2022-06-08,1854,3309,32711,576,457,2991,0.03978602474088933,576.0,1958.0,457.0,19.257773319959878,65.46305583416917,15.279170845870945,121.18000030517578
36,AMZN,2022-06-09,682,1698,6043,559,449,3007,0.03658131027602261,559.0,1999.0,449.0,18.5899567675424,66.47821749251746,14.931825739940138,116.1500015258789
37,AMZN,2022-06-10,1073,2168,10696,549,498,3020,0.016887417218543047,549.0,1973.0,498.0,18.178807947019866,65.33112582781457,16.490066225165563,109.6500015258789
38,AMZN,2022-06-11,965,1701,6994,562,435,3019,0.042066909572706195,562.0,2022.0,435.0,18.615435574693606,66.97581980788341,14.40874461742299,110.59199981689451
39,AMZN,2022-06-12,864,1546,5529,593,441,2984,0.05093833780160858,593.0,1950.0,441.0,19.87265415549598,65.3485254691689,14.778820375335119,107.88999938964844
40,AMZN,2022-06-13,1418,8699,71243,476,493,2982,-0.005700871898054996,476.0,2013.0,493.0,15.96244131455399,67.50503018108652,16.53252850435949,103.66999816894533
41,AMZN,2022-06-14,1055,4940,24148,512,449,3001,0.020993002332555816,512.0,2040.0,449.0,17.060979673442187,67.97734088637121,14.961679440186604,102.30999755859376
